위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.4092101,126.7706544,휴게음식점,목장카페드르쿰다,제주특별자치도 서귀포시 표선면 번영로 2454 1층,제주특별자치도 서귀포시 표선면 성읍리 2873번지 ,2018-02-23
33.2402708,126.2507128,휴게음식점,파파이스제주모슬포점,제주특별자치도 서귀포시 대정읍 일주서로 2641 1층,제주특별자치도 서귀포시 대정읍 하모리 1293번지 ,2018-02-23
33.2541205,126.560076,휴게음식점,더커피브루,제주특별자치도 서귀포시 대청로 39 2층 (강정동),제주특별자치도 서귀포시 강정동 208번지 7호 2 ,2018-02-23
33.2541205,126.560076,휴게음식점,맘스터치신서귀포점,제주특별자치도 서귀포시 대청로 39 2층 202호 (강정동),제주특별자치도 서귀포시 강정동 208번지 7호 ,2018-02-23
33.2438918,126.5547833,휴게음식점,씨유서귀외돌개점,제주특별자치도 서귀포시 남성중로 131 (서홍동),제주특별자치도 서귀포시 서홍동 643번지 ,2018-02-23
33.2413732,126.5630768,휴게음식점,세븐일레븐솔동산점,제주특별자치도 서귀포시 천지연로29번길 8 1층 (서귀동),제주특별자치도 서귀포시 서귀동 698번지 4호 ,2018-02-23
33.2851761,126.2791491,휴게음식점,씨유제주이노에듀타운점,제주특별자치도 서귀포시 대정읍 글로벌에듀로 382 1층,  ,2018-02-23
33.2545374,126.4242596,휴게음식점,씨유제주중문마을점,제주특별자치도 서귀포시 중문로 29-1 1층 (중문동),제주특별자치도 서귀포시 중문동 1577번지 9호 ,2018-02-23
33.2625567,126.2089836,휴게음식점,파파스토리,제주특별자치도 서귀포시 대정읍 영락사독로 13 1 2층,제주특별자치도 서귀포시 대정읍 영락리 1243번지 1호 ,2018-02-23
33.240469,126.493008,휴게음식점,씨유서귀강정이어도로점,제주특별자치도 서귀포시 이어도로 793 1층 (강정동),제주특별자치도 서귀포시 강정동 927번지 1호 ,2018-02-23
33.3299649,126.838304,휴게음식점,표선카라반,제주특별자치도 서귀포시 표선면 표선동서로 324-18,제주특별자치도 서귀포시 표선면 표선리 441번지 ,2018-02-23
33.4026908,126.7786807,휴게음식점,정지,제주특별자치도 서귀포시 표선면 번영로 2564-13,제주특별자치도 서귀포시 표선면 성읍리 2684번지 4호 ,2018-02-23
