지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
보도포장,160038,도천동,348021922B,통영시,160029,RD20170001,신설,미분류,251.93,633.08,2.5,미분류,소형고압블럭,미분류,미분류,1,116,128.4082913,34.83918395
보도포장,160040,도천동,348021922C,통영시,160028,RD20170001,신설,미분류,215.24,536.56,2.5,미분류,소형고압블럭,미분류,미분류,1,117,128.4073832,34.83723704
보도포장,160041,도천동,348021922C,통영시,160027,RD20170001,신설,미분류,31.18,81.2,2.5,미분류,소형고압블럭,미분류,미분류,1,118,128.4073461,34.83620187
보도포장,160042,도천동,348021922C,통영시,160027,RD20170001,신설,미분류,85.53,214.01,2.5,미분류,소형고압블럭,미분류,미분류,1,119,128.40691,34.83594904
보도포장,160043,,348021932A,통영시,160025,RD20170001,신설,미분류,301.31,803.74,2.5,미분류,소형고압블럭,미분류,미분류,1,120,128.4060255,34.83439628
보도포장,160044,,348021931B,통영시,160015,RD20170001,신설,미분류,85.89,405.85,3,미분류,소형고압블럭,미분류,미분류,1,121,128.4043613,34.83336669
보도포장,160045,,348021932A,통영시,160025,RD20170001,신설,미분류,294.83,895.76,2.5,미분류,소형고압블럭,미분류,미분류,1,122,128.405846,34.83391705
보도포장,160046,,348021931B,통영시,160015,RD20170001,신설,미분류,60.49,148.86,2.5,미분류,소형고압블럭,미분류,미분류,1,123,128.4043505,34.83362015
보도포장,160047,,348021931B,통영시,160016,RD20170001,신설,미분류,18.77,46.66,2.5,미분류,소형고압블럭,미분류,미분류,1,124,128.4047635,34.83353258
보도포장,160048,도천동,348021912D,통영시,160032,RD20170001,신설,미분류,82.34,211.09,3,미분류,소형고압블럭,미분류,미분류,1,125,128.4089504,34.84208941
보도포장,160049,도천동,348021912B,통영시,160031,RD20170001,신설,미분류,220.41,560.9,2.5,미분류,소형고압블럭,미분류,미분류,1,126,128.4087472,34.84337488
보도포장,160050,명정동,348021484A,통영시,160018,RD20170001,신설,미분류,20.88,64.83,3,미분류,소형고압블럭,미분류,미분류,1,127,128.4163384,34.85856968
보도포장,160051,명정동,348021484A,통영시,160021,RD20170001,신설,미분류,97.33,300.95,3,미분류,소형고압블럭,미분류,미분류,1,128,128.4169781,34.85860208
보도포장,160052,명정동,348021484A,통영시,160019,RD20170001,신설,미분류,115.89,340.59,3,미분류,소형고압블럭,미분류,미분류,1,129,128.4156021,34.85860878
보도포장,160053,명정동,348021483B,통영시,160017,RD20170001,신설,미분류,42.47,102.07,2.4,미분류,소형고압블럭,미분류,미분류,1,130,128.414747,34.85855754
보도포장,160054,명정동,348021483B,통영시,160017,RD20170001,신설,미분류,42.46,129.68,3,미분류,투수성콘크리트,미분류,미분류,1,131,128.4147521,34.85889936
보도포장,160055,명정동,348021484A,통영시,160019,RD20170001,신설,미분류,112.87,342.6,3,미분류,투수성콘크리트,미분류,미분류,1,132,128.4156006,34.85884255
보도포장,160056,명정동,348021484A,통영시,160021,RD20170001,신설,미분류,91.57,278.2,3,미분류,소형고압블럭,미분류,미분류,1,133,128.4169544,34.85878877
보도포장,450001,북신동,348021496B,통영시,450026,,신설,미분류,50,92.88,1.8,미분류,소형고압블럭,미분류,미분류,1,134,128.4293943,34.85312474
차도포장,450002,북신동,348021496B,통영시,450026,,신설,미분류,49.9,333.38,8.94,아스팔트콘크리트,미분류,미분류,미분류,1,135,128.4293634,34.85315326
보도포장,450003,북신동,348021496B,통영시,450020,,신설,미분류,12,23.97,2,미분류,소형고압블럭,미분류,미분류,1,136,128.4296271,34.85330332
차도포장,450004,북신동,348021496B,통영시,450028,,신설,미분류,47.7,228.52,4.57,아스팔트콘크리트,미분류,미분류,미분류,1,137,128.4293198,34.85321438
차도포장,450005,북신동,348021496B,통영시,450020,,신설,미분류,11.9,85.77,7.12,아스팔트콘크리트,미분류,미분류,미분류,1,138,128.4295953,34.85333578
차도포장,450006,북신동,348021496B,통영시,450022,,신설,미분류,6.7,63.27,8.94,아스팔트콘크리트,미분류,미분류,미분류,1,139,128.4295471,34.85338531
차도포장,450007,북신동,348021496B,통영시,450004,,신설,미분류,12,66.7,5.58,아스팔트콘크리트,미분류,미분류,미분류,1,140,128.429488,34.85341287
보도포장,450008,북신동,348021496B,통영시,450018,,신설,미분류,61.3,126.44,1.9,미분류,소형고압블럭,미분류,미분류,1,141,128.4299294,34.85352435
보도포장,450009,북신동,348021496B,통영시,450018,,신설,미분류,53.1,105.5,2,미분류,소형고압블럭,미분류,미분류,1,142,128.4298383,34.85355517
차도포장,450010,북신동,348021496B,통영시,450018,,신설,미분류,60.8,380.67,5.99,아스팔트콘크리트,미분류,미분류,미분류,1,143,128.4299005,34.85355449
보도포장,450011,북신동,348021497A,통영시,450016,,신설,미분류,16.2,18.31,1.2,미분류,소형고압블럭,미분류,미분류,1,144,128.4302419,34.85376172
보도포장,450012,북신동,348021497A,통영시,450014,,신설,미분류,8.4,10.88,1.3,미분류,소형고압블럭,미분류,미분류,1,145,128.4303476,34.85380822
차도포장,450013,북신동,348021497A,통영시,450011,,신설,미분류,43.3,246.12,5.74,아스팔트콘크리트,미분류,미분류,미분류,1,146,128.4305771,34.85365699
차도포장,450014,북신동,348021497A,통영시,450016,,신설,미분류,14.8,120.24,8.42,아스팔트콘크리트,미분류,미분류,미분류,1,147,128.4301928,34.85378158
차도포장,450015,북신동,348021496B,통영시,450003,,신설,미분류,59.4,321.81,5.35,아스팔트콘크리트,미분류,미분류,미분류,1,148,128.4297244,34.85368454
차도포장,450016,북신동,348021497A,통영시,450014,,신설,미분류,14.6,163.52,14.11,아스팔트콘크리트,미분류,미분류,미분류,1,149,128.4303504,34.85385403
보도포장,450017,북신동,348021497A,통영시,450014,,신설,미분류,16.8,29.63,1.7,미분류,소형고압블럭,미분류,미분류,1,150,128.4302807,34.85388672
차도포장,450018,북신동,348021497A,통영시,450027,,신설,미분류,21.2,151.35,6.57,아스팔트콘크리트,미분류,미분류,미분류,1,151,128.4300597,34.85385888
차도포장,450019,북신동,348021496B,통영시,450001,,신설,미분류,10.1,63.33,6.36,아스팔트콘크리트,미분류,미분류,미분류,1,152,128.4299321,34.85393001
보도포장,450020,북신동,348021497A,통영시,450012,,신설,미분류,70.2,165.97,2,미분류,소형고압블럭,미분류,미분류,1,153,128.4306598,34.85405771
차도포장,450021,북신동,348021497A,통영시,450009,,신설,미분류,24.9,100.62,4.07,아스팔트콘크리트,미분류,미분류,미분류,1,154,128.4310836,34.85421047
차도포장,450022,북신동,348021497A,통영시,450012,,신설,미분류,70.4,451.65,5.93,아스팔트콘크리트,미분류,미분류,미분류,1,155,128.4306548,34.85411329
보도포장,450023,북신동,348021497A,통영시,450012,,신설,미분류,68.7,124.03,2.2,미분류,소형고압블럭,미분류,미분류,1,156,128.4306158,34.85413557
보도포장,450024,북신동,348021497A,통영시,450024,,신설,미분류,6.6,12.86,2,미분류,소형고압블럭,미분류,미분류,1,157,128.430897,34.85438927
차도포장,450025,북신동,348021497A,통영시,450024,,신설,미분류,11.2,124.15,9.03,아스팔트콘크리트,미분류,미분류,미분류,1,158,128.4309671,34.85437484
차도포장,450026,북신동,348021497A,통영시,450008,,신설,미분류,40.2,404.04,13.48,아스팔트콘크리트,미분류,미분류,미분류,1,159,128.4308074,34.85456413
차도포장,160019,도천동,348021922B,통영시,160029,RD20170001,신설,미분류,257,4461.36,17,아스팔트콘크리트,미분류,미분류,미분류,1,160,128.408399,34.83917985
보도포장,160039,도천동,348021922D,통영시,160028,RD20170001,신설,미분류,204.97,529.9,2.5,미분류,소형고압블럭,미분류,미분류,1,161,128.4076527,34.83717501
보도면,400,광도면,348021435C,통영시,14100,RD20170003,신설,미분류,4.69,17.23,4,미분류,소형고압블럭,,,1,162,128.4202525,34.88232202
보도면,401,광도면,348021435C,통영시,14100,RD20170003,신설,미분류,3.74,12.58,3.8,미분류,소형고압블럭,,,1,163,128.4200474,34.88235273
보도면,402,광도면,348021435C,통영시,14104,RD20170003,신설,미분류,14.46,34.83,2.02,미분류,소형고압블럭,,,1,164,128.4202341,34.88239051
보도면,403,광도면,348021435A,통영시,14104,RD20170003,신설,미분류,29.5,58.55,2.01,미분류,소형고압블럭,,,1,165,128.4202535,34.88265608
보도면,404,광도면,348021435A,통영시,14102,RD20170003,신설,미분류,118.55,218.51,1.71,미분류,소형고압블럭,,,1,166,128.4197778,34.88384392
보도면,405,광도면,348021434B,통영시,14101,RD20170003,신설,미분류,2.58,7.22,2.7,미분류,소형고압블럭,,,1,167,128.4194123,34.88426317
