위도,경도,amenity,name,addr:full,source,source:date
33.2518857,126.4242535,restaurant,승리분식,제주특별자치도 서귀포시 천제연로 183 (중문동),공공데이터포털,2018-02-23
33.2519011,126.4266075,restaurant,해심갈비,제주특별자치도 서귀포시 천제연로 203-4 (중문동),공공데이터포털,2018-02-23
33.2461154,126.5244785,restaurant,원보뷔페1호점,제주특별자치도 서귀포시 이어도로 1065 (서호동),공공데이터포털,2018-02-23
33.2429044,126.4204352,restaurant,씨에스호텔천제연,제주특별자치도 서귀포시 중문관광로 198 (중문동),공공데이터포털,2018-02-23
33.2566335,126.5727546,restaurant,너랑나랑,제주특별자치도 서귀포시 동홍중앙로66번길 5 1층 (동홍동),공공데이터포털,2018-02-23
33.2480132,126.5685168,restaurant,왕자반점,제주특별자치도 서귀포시 정방로 7-5 (서귀동),공공데이터포털,2018-02-23
33.2353646,126.4803661,restaurant,몰질음식점,제주특별자치도 서귀포시 이어도로 598 (강정동),공공데이터포털,2018-02-23
33.2418455,126.5650176,restaurant,어멍뚝배기,제주특별자치도 서귀포시 부두로 35 (서귀동),공공데이터포털,2018-02-23
33.2862186,126.4442655,restaurant,위호텔 아잘리아,제주특별자치도 서귀포시 1100로 453-95 (회수동),공공데이터포털,2018-02-23
33.2442838,126.5620839,restaurant,나주곰탕,제주특별자치도 서귀포시 솔동산로22번길 21 (서귀동),공공데이터포털,2018-02-23
33.2436722,126.5683032,restaurant,동해미락,제주특별자치도 서귀포시 칠십리로 133 (서귀동),공공데이터포털,2018-02-23
33.2183711,126.2507418,restaurant,모슬포포구식당,제주특별자치도 서귀포시 대정읍 하모항구로 54,공공데이터포털,2018-02-23
