위도,경도,name,name:en,name:ko,highway,public_transport
37.783349,127.987626,주음치,Jueumchi,주음치,bus_stop,platform
37.783247,127.987655,주음치,Jueumchi,주음치,bus_stop,platform
37.784126,127.994555,주음치1교,Jueumchi1Gyo,주음치1교,bus_stop,platform
37.784208,127.994626,주음치1교,Jueumchi1Gyo,주음치1교,bus_stop,platform
37.787741,127.982716,주음치리,Jueumchi-ri,주음치리,bus_stop,platform
37.788016,127.982073,주음치리,Jueumchi-ri,주음치리,bus_stop,platform
37.76999,128.032751,주음치종점,Jueumchijongjeom,주음치종점,bus_stop,platform
37.700618,127.86819,중화계구방앗간,Junghwagyegubangatgan,중화계구방앗간,bus_stop,platform
37.702958,127.867458,중화계리,Junghwagye-ri,중화계리,bus_stop,platform
37.845225,128.005176,지다치,Jidachi,지다치,bus_stop,platform
37.845196,128.005053,지다치,Jidachi,지다치,bus_stop,platform
37.768479,127.964359,진격아파트,Jingyeok Apt.,진격아파트,bus_stop,platform
37.768546,127.964285,진격아파트,Jingyeok Apt.,진격아파트,bus_stop,platform
37.749136,128.057968,진들,Jindeul,진들,bus_stop,platform
37.749132,128.057771,진들,Jindeul,진들,bus_stop,platform
37.753822,127.948748,진등고개,Jindeunggogae,진등고개,bus_stop,platform
37.753811,127.948884,진등고개,Jindeunggogae,진등고개,bus_stop,platform
37.691573,127.887557,진리(학다리),Jin-ri(Hakdari),진리(학다리),bus_stop,platform
37.691576,127.887688,진리.학다리,Jin-ri.Hakdari,진리.학다리,bus_stop,platform
