위도,경도,name,addr:full,source:date,amenity,karaoke
33.30601115,126.7928945,전국노래자랑,제주특별자치도 서귀포시 표선면 일주동로 6347-17,2020-08-20,bar,yes
33.32425012,126.8316227,썬비치노래텔,제주특별자치도 서귀포시 표선면 표선동서로 225,2020-08-20,bar,yes
33.32425012,126.8316227,탐라주점,제주특별자치도 서귀포시 표선면 표선동서로 225,2020-08-20,bar,yes
33.32439808,126.8316912,라비타돌체,제주특별자치도 서귀포시 표선면 표선동서로 227,2020-08-20,bar,yes
33.32429044,126.8320995,월드스타,제주특별자치도 서귀포시 표선면 표선동서로 228,2020-08-20,bar,yes
33.32516739,126.8325231,지중해노래텔,제주특별자치도 서귀포시 표선면 표선동서로 240,2020-08-20,bar,yes
33.32531167,126.8325357,원투,제주특별자치도 서귀포시 표선면 표선동서로 240-1,2020-08-20,bar,yes
33.32641568,126.8328429,대박,제주특별자치도 서귀포시 표선면 표선동서로 253,2020-08-20,bar,yes
33.32636233,126.8334058,여인궁가요방,제주특별자치도 서귀포시 표선면 표선동서로 254-5,2020-08-20,bar,yes
33.32661073,126.8330659,강변가요방,제주특별자치도 서귀포시 표선면 표선동서로 255-1,2020-08-20,bar,yes
33.32661073,126.8330659,소정,제주특별자치도 서귀포시 표선면 표선동서로 255-1,2020-08-20,bar,yes
33.32656494,126.8338866,하니노래주점,제주특별자치도 서귀포시 표선면 표선동서로 262-5,2020-08-20,bar,yes
33.32663524,126.8325203,표선향수노래클럽,제주특별자치도 서귀포시 표선면 표선중앙로 75-1,2020-08-20,bar,yes
33.32628921,126.832667,초이스,제주특별자치도 서귀포시 표선면 표선중앙로 79,2020-08-20,bar,yes
33.32571635,126.8330977,뉴팡팡가요방,제주특별자치도 서귀포시 표선면 표선중앙로 86,2020-08-20,bar,yes
33.32589003,126.8335141,빅토리아가요방,제주특별자치도 서귀포시 표선면 표선중앙로 89,2020-08-20,bar,yes
33.32589003,126.8335141,남양가요방,제주특별자치도 서귀포시 표선면 표선중앙로 89,2020-08-20,bar,yes
33.32602924,126.8324398,세븐노래텔,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,2020-08-20,bar,yes
33.32602924,126.8324398,가고파노래주점,제주특별자치도 서귀포시 표선면 표선중앙로80번길 1,2020-08-20,bar,yes
33.32525859,126.8332919,진주가요타운,제주특별자치도 서귀포시 표선면 표선중앙로90번길 5,2020-08-20,bar,yes
33.3250889,126.8331591,강남스타일,제주특별자치도 서귀포시 표선면 표선중앙로90번길 9-1,2020-08-20,bar,yes
33.32535687,126.8339705,제일노래유흥주점,제주특별자치도 서귀포시 표선면 표선중앙로96번길 3,2020-08-20,bar,yes
33.32535687,126.8339705,스카이,제주특별자치도 서귀포시 표선면 표선중앙로96번길 3,2020-08-20,bar,yes
